date,year,id,yi,block,trt,irr,tss,out,tssl
7/31/2013,2013,6,2013.D,2,ST,4,0.161,9707.512145,1.562909455
8/21/2013,2013,1,2013.F,1,CT,6,0.257316667,20901.55124,5.3783175
8/21/2013,2013,2,2013.F,1,MT,6,0.92994,29662.56568,27.58440633
8/21/2013,2013,3,2013.F,1,ST,6,0.1735,35247.23507,6.115395285
8/21/2013,2013,4,2013.F,2,CT,6,2.25345,30420.58054,68.55125722
8/21/2013,2013,5,2013.F,2,MT,6,0.92151,22920.91515,21.12185252
8/21/2013,2013,6,2013.F,2,ST,6,0.344923333,7115.305145,2.454234766
7/2/2014,2014,1,2014.A,1,CT,1,1.096666667,44485.105,48.78533183
7/2/2014,2014,2,2014.A,1,MT,1,0,0,0
7/2/2014,2014,3,2014.A,1,ST,1,0.64,31714.515,20.2972896
7/2/2014,2014,4,2014.A,2,CT,1,2.433333333,65154.99,158.543809
7/2/2014,2014,5,2014.A,2,MT,1,0,0,0
7/2/2014,2014,6,2014.A,2,ST,1,1.246666667,7630.56,9.512764803
8/5/2014,2014,1,2014.C,1,CT,3,0.525,2106.731,1.106033775
8/5/2014,2014,2,2014.C,1,MT,3,0.06,915.213,0.05491278
8/5/2014,2014,3,2014.C,1,ST,3,1.755,2451.923,4.303124865
8/5/2014,2014,4,2014.C,2,CT,3,0.533333333,1574.56,0.839765333
8/5/2014,2014,5,2014.C,2,MT,3,0.0625,9594.975,0.599685938
8/5/2014,2014,6,2014.C,2,ST,3,0.2225,1451.5475,0.322969319
8/18/2008,2014,1,2014.D,1,CT,4,0.54,16214.94,8.7560676
8/18/2011,2014,2,2014.D,1,MT,4,0,0,0
8/18/2014,2014,3,2014.D,1,ST,4,0.853333333,3484.8495,2.973738239
8/18/2017,2014,4,2014.D,2,CT,4,0.803333333,14028.724,11.26974161
8/18/2020,2014,5,2014.D,2,MT,4,0,0,0
8/18/2023,2014,6,2014.D,2,ST,4,0.3,2534.436,0.7603308
7/7/2015,2015,1,2015.A,1,CT,1,0.19,20880.90631,3.967372199
7/7/2015,2015,2,2015.A,1,MT,1,0.006,1146.091367,0.006876548
7/7/2015,2015,3,2015.A,1,ST,1,0.004,3375.66509,0.01350266
7/7/2015,2015,4,2015.A,2,CT,1,0.022,6813,0.149886
7/7/2015,2015,5,2015.A,2,MT,1,0.024,12922.14801,0.310131552
7/7/2015,2015,6,2015.A,2,ST,1,0.05,3277.053,0.16385265
7/21/2015,2015,1,2015.B,1,CT,2,2.354166667,26108.74985,61.46434861
7/21/2015,2015,2,2015.B,1,MT,2,0.3675,9936.188406,3.651549239
